Weight,A,B,C,D,E,F,G,H1,H2,I,L,M,J,K,N,P
1,$20.92 ,$21.87 ,$23.47 ,$28.82 ,$47.85 ,$21.69 ,$25.24 ,$21.16 ,$24.95 ,$45.95 ,$31.48 ,$56.16 ,$20.78 ,$22.48 ,$15.73 ,$18.15 
2,$23.34 ,$24.28 ,$27.15 ,$33.52 ,$54.92 ,$25.94 ,$29.18 ,$25.16 ,$29.64 ,$49.20 ,$37.19 ,$67.39 ,$26.71 ,$27.29 ,$17.48 ,$20.16 
3,$25.73 ,$28.56 ,$32.31 ,$38.21 ,$69.44 ,$30.18 ,$33.20 ,$29.27 ,$34.31 ,$52.45 ,$42.89 ,$78.62 ,$29.38 ,$32.12 ,$19.24 ,$22.19 
4,$28.01 ,$31.20 ,$36.78 ,$42.73 ,$79.09 ,$34.39 ,$36.01 ,$32.96 ,$38.91 ,$60.00 ,$48.58 ,$89.61 ,$31.56 ,$37.28 ,$20.99 ,$24.21 
5,$29.01 ,$34.67 ,$39.82 ,$45.12 ,$84.94 ,$38.59 ,$39.73 ,$36.76 ,$41.77 ,$62.69 ,$54.28 ,$100.64 ,$34.84 ,$37.89 ,$22.74 ,$26.24 
6,$31.18 ,$37.96 ,$42.80 ,$50.41 ,$90.15 ,$40.62 ,$43.52 ,$40.05 ,$46.96 ,$70.84 ,$58.84 ,$107.52 ,$37.13 ,$47.54 ,$24.41 ,$28.15 
7,$30.82 ,$41.22 ,$45.29 ,$53.58 ,$99.31 ,$42.65 ,$48.22 ,$43.43 ,$51.04 ,$81.32 ,$63.39 ,$114.40 ,$39.45 ,$51.73 ,$26.06 ,$30.06 
8,$32.28 ,$44.71 ,$47.46 ,$57.11 ,$104.73 ,$44.68 ,$51.41 ,$46.07 ,$55.16 ,$91.82 ,$67.92 ,$121.29 ,$41.75 ,$55.71 ,$27.71 ,$31.94 
9,$33.45 ,$47.69 ,$50.96 ,$61.16 ,$110.13 ,$46.70 ,$55.35 ,$47.88 ,$59.28 ,$102.34 ,$72.47 ,$128.18 ,$44.08 ,$59.28 ,$29.35 ,$33.85 
10,$34.72 ,$49.00 ,$53.42 ,$64.26 ,$115.53 ,$48.75 ,$58.35 ,$49.56 ,$63.39 ,$112.94 ,$77.02 ,$135.08 ,$46.39 ,$62.29 ,$30.99 ,$35.74 
