Product,Package,Weight,A,B,C,D,E,F,G,MJ,MK,I,L,M,N,P,N
D,Letter,0 lb,12.68,13.19,17.09,19.91,37.76,15.91,18.47,12.54,13.97,31.27,23.05,45.07,10.48,11.58,19.43
D,Documents,1 lb,20.36,19.64,23.39,28.75,43.96,21.41,24.75,16.79,18.86,38.45,30.68,53.07,16.42,18.15,25.96
D,Documents,2 lb,21.62,20.24,25.11,35.83,53.66,22.29,26.74,20.91,26.58,44.44,36.92,64.85,18.25,20.16,29.8
D,Documents,3 lb,26.31,27.44,34.05,41.68,64.34,32.16,35.78,26.72,30.94,50.12,43.48,77.81,20.08,22.19,36.94
P,Documents,4 lb,28.84,30.14,41.35,46.75,74.44,38.7,39.25,30.55,34.85,58.54,50.02,87.96,21.91,24.21,42.44
P,Documents,5 lb,31.8,34.74,47.12,53.07,84.94,45.66,45.19,36.46,39.65,64.15,56.82,100.64,22.74,26.24,49.42
P,Commodities,1 lb,20.92,21.87,23.47,28.82,47.85,21.69,25.24,20.78,22.48,45.95,31.48,56.16,15.73,18.15,24.95
P,Commodities,2 lb,23.34,24.28,27.51,33.52,54.92,25.94,29.18,26.71,27.29,49.2,37.19,67.39,17.48,20.16,29.64
P,Commodities,3 lb,25.73,28.56,32.31,38.21,69.44,30.18,33.2,29.38,32.12,52.45,42.89,78.62,19.24,22.19,34.31
P,Commodities,4 lb,28.01,31.2,36.78,42.73,79.09,34.39,36.01,31.56,37.28,60,48.58,89.61,20.99,24.21,38.91
P,Commodities,5 lb,29.01,34.67,39.82,45.12,84.94,38.59,39.73,34.84,37.89,62.69,54.28,100.64,22.74,26.24,41.77
P,Commodities,6 lb,31.18,37.96,42.8,50.41,90.15,40.62,43.52,37.13,47.54,70.84,58.84,107.52,24.41,28.15,46.96
P,Commodities,7 lb,30.82,41.22,45.29,53.58,99.31,42.65,48.22,39.45,51.73,81.32,63.39,114.4,26.06,30.06,51.04
P,Commodities,8 lb,32.28,44.71,47.46,57.11,104.73,44.68,51.41,41.75,55.71,91.82,67.92,121.29,27.71,31.94,55.16
P,Commodities,9 lb,33.45,47.69,50.96,61.16,110.13,46.7,55.35,44.08,59.28,102.34,72.47,128.18,29.35,33.85,59.28
P,Commodities,10 lb,34.72,49,53.42,64.26,115.53,48.75,58.35,46.39,62.29,112.94,77.02,135.08,30.99,35.74,63.39
P,Commodities,11 lb,36.29,51.02,55.89,67.34,123.8,50.87,61.72,49.08,65.27,121.33,81.65,144.28,32.33,37.27,66.84
P,Commodities,12 lb,37.86,53.05,58.36,70.42,132.07,52.98,65.09,51.75,68.45,129.71,86.28,153.47,33.65,38.8,70.28
P,Commodities,13 lb,39.45,55.06,60.85,73.51,140.34,55.09,68.47,54.44,72.94,138.11,90.91,162.67,34.99,40.33,73.73
P,Commodities,14 lb,41.02,57.08,63.31,76.6,148.59,57.21,71.85,57.11,77.42,146.49,95.53,171.87,36.31,41.88,77.18
P,Commodities,15 lb,42.6,59.11,63.61,79.68,156.86,59.32,75.22,59.79,81.91,154.88,100.18,181.07,37.65,43.41,80.62
P,Commodities,16 lb,44.18,61.13,66,82.76,165.13,61.44,78.6,62.46,86.39,163.27,104.8,190.27,38.98,44.94,84.06
P,Commodities,17 lb,45.75,63.15,68.39,85.86,173.4,63.55,81.98,65.14,90.88,171.66,109.42,199.46,40.32,46.47,87.52
