Style Id,Size,Qty,Parent ASIN,SKU,Create FBA listing,Barcode,Lengt,Width,Depth,Column1,Column2
21AX038BLLTG,10,20,B010D07F22,21AX038BLLTG-10,Y,638872477967,10.5,7.5,2,490750135563,
21AX038BLLTG,4,10,B010D07F22,21AX038BLLTG-4,Y,638872477936,9.5,7.5,1.5,490750135532,
21AX038BLLTG,6,30,B010D07F22,21AX038BLLTG-6,Y,638872477943,9.5,7.5,1.5,490750135549,
21AX038BLLTG,8,30,B010D07F22,21AX038BLLTG-8,Y,638872477950,10.5,7.5,1.5,490750135556,
21DM263GBSDZ,4,24,B0155MCOHY,21DM263GBSDZ-2-4,N,638872477615,9,8,1,,
21DM263GBSDZ,6,36,B0155MCOHY,21DM263GBSDZ-2-6,N,638872477622,9,8,1,,
21DM263GBSDZ,8,36,B0155MCOHY,21DM263GBSDZ-2-8,N,638872477639,10,9,1.25,,
21DP136GGSDZ,8,30,B00XEUMHRW,DP136-8,Y,886166067503,10,7.5,0.75,886166967537,not mega
21FZ211GGSDZ,10,20,B00RA0XQBI,21FZ211GGSDZ-3-10,Y,638872476342,9.5,8,0.875,,
21FZ211GGSDZ,8,30,B00RA0XQBI,21FZ211GGSDZ-3-8,Y,638872476335,9.5,8,0.875,,
21FZ354ggsdz,4/5,20,B00RA0XQBI,21FZ354ggsdz-2-4,Y,638872478049,6.5,6.5,1,,
21FZ354ggsdz,6/6x,40,B00RA0XQBI,21FZ354ggsdz-2-6,Y,638872478339,7.5,7,1,,
21MK080ELLDZ,2T,12,B00XK29R72,21MK080ELLDZ-2T,Y,886166971206,9,7.5,0.75,,
21MK080ELLDZ,3T,24,B00XK29R72,21MK080ELLDZ-3T,Y,886166971213,9,7.5,0.875,,
21MK080ELLDZ,4T,24,B00XK29R72,21MK080ELLDZ-4T,Y,886166971220,9,7.5,1,,
21MW175GBSDZ,4,24,B00XEUN65Y,21MW175GBSDZ-1-4,Y,889799013541,9.5,8.5,0.75,,
21MW175GBSDZ,6,24,B00XEUN65Y,21MW175GBSDZ-1-6,Y,889799013558,9.5,8.5,0.875,,
21MW175GBSDZ,8,24,B00XEXRKSA,21MW175GBSDZ-2-8,Y,889799013565,10.5,10,1,was not here 889799013565,
21NJ228BLLDZ,10,12,B00LW4Q58Y,21NJ228BLLDZ-1-10,Y,886166793198,10,7,1.5,difference Real barcode 886166910014,
21NJ228BLLDZ,4,12,B00LW4Q58Y,21NJ228BLLDZ-1-4,Y,636947519079,9,7,1.125,difference Real barcode 886166909988,
21NJ228BLLDZ,6,24,B00LW4Q58Y,21NJ228BLLDZ-1-6,Y,636947519086,9,7,1.125,difference Real barcode 886166909995,
21NJ228BLLDZ,8,24,B00LW4Q58Y,21NJ228BLLDZ-1-8,Y,886166793181,10,7,1.5,difference Real barcode 886166910007,
21TD008GDLDZ,10,50,B017BUJZK2,21TD008GDLDZ-2-10,N,886166906239,11,8,0.375,qty 3  ,
21TE055ELLDZ,2T,18,B017QCWCW8,21TE055ELLDZ-2T,Y,712096699470,8.5,7,1,886166909575,
21TE055ELLDZ,3T,24,B017QCWCW8,21TE055ELLDZ-3T,Y,886166944880,8.5,7,1.25,886166909582,
