Style;Isle;Section;Shelve;default\
21AZ350SLBPZA;1;1;1;Y
21NE243ZSBPZA;1;1;1;Y
21NJ153ZSBPZA;1;1;1;Y
21CR210SLFPZA;1;2;1;Y
BA0332;1;2;1;Y
21BM021BLLZA;1;3;1,3;Y
21BM030BLLZA;1;3;1,3;Y
21BM021BLLZA;1;4;1;Y
S5016BLLZA;1;4;1,3;Y
S5018ELLZA;1;4;1;Y
21S5013ELLFM;1;5;1,3;Y
SL003BCLZA;1;5;1,3;Y
SL000BCLZA;1;5;1,3;Y
S5029BLLZA;1;6;1,3;Y
21NE008BCLZA;1;6;1,3;Y
21NE005BLLZA;1;7;1,2;Y
21CR201ZSFPZA;1;1;2;Y
21BM136SLFCTG;1;1,2;2;Y
21AZ386SLFPZA;1;2;2;Y
21NE173SLBPTG;1;2;2;Y
21SP044SLFPTG;1;3;2;Y
21A2029BLLZA;1;3;2;Y
21BM020ELLZA;1;3,4;2;Y
21DM017BLLTG;1;4;2;Y
21US186ZSFPZA;1;4;2;Y
21BM012ELLJC;1;5;2;Y
21MK015ELLZA;1;5;2;Y
21NJ038BLLBN;1;6;2;Y
21NE005BLLZA;1;6;2;Y
21SP010BLLZA;1;7;2,3;Y
21S5011BCLKM;1;7;2;Y
21CR201ZSFPMA;1;7;3;N
21PQ036SLFPZA;2;1;1;Y
21AG001ZSBPZA;2;1;1;Y
21SH006SLFPZA;2;2;1,3;Y
21US063HLFPZA;2;2;1;Y
21PQ021LLBFAZ;2;3;1;Y
21NE212LLBFAZ;2;3;1;Y
21SX075LLBFAZ;2;3;1;Y
21BM021BLLZA;2;3;1;N
21NJ069CLB4AZ;2;3;1;Y
21PQ013CLF4ZA;2;3;1;Y
21US106CLF4ZA;2;3;1;Y
21TE180CLF4BE;2;3;1;Y
21US129CLB4ZA;2;3;1;Y
21NE221CLB4AZ;2;3;1;Y
21SL153CLB4AZ;2;4;1;Y
21JP035LLFPZA;2;4;1;Y
21SP052CLB4ZA;2;4;1;Y
21SP064CLB4ZA;2;4;1;Y
21A2028LLBFAZ;2;5;1;Y
21TE154SLFPZA;2;5;1;Y
21CR194CLF4ZA;2;5;1;Y
21SM033LLFPZA;2;5;1;Y
21BM067SLBCZA;2;5;1;Y
21BM120SLBPZA;2;6;1;Y
21SP033SLBCZA;2;6;1,3;Y
21MC262ZSFPSH;2;6;1,3;Y
21CR085LLIFZA;2;6;1;Y
21CR17LLFFAZ;2;7;1;Y
K157086PL;2;7;1;Y
K157079JK;2;7;1;Y
21NJ054LLFFAZ;2;7;1;Y
21AG001SLBPTG;2;1;2,3;Y
21CR210SLFPZA;2;1;2;N
21CR117SLFPZA;2;2;2;Y
21CR117ZSFPZA;2;2;2;Y
21SS292CSH4KM;2;3;2,3;Y
21PQ021LLBFZA;2;3;2;Y
21AQ012CLB4AZ;2;3;2;Y
21US184ZSBPTG;2;3;2;Y
21US186SLFPDZ;2;3;2;Y
21SS247SLFPZA;2;4;2;Y
K157094MM;2;4;2,3;Y
21AG001ZSBPZA;2;4;2;N
21BM075SSFPZA;2;4;2;Y
21S5006SSBPZA;2;4;2;Y
K157120MI;2;4;2;Y
21BM012ELLZA;2;5;2;N
21MC221SLFPZA;2;5;2;Y
21TEA65SSBIL2;2;5;2;Y
21TE118LLFFZA;2;6;2;Y
21SB257SSBPZA;2;6;2;Y
21BM075SSFPZA;2;6;2;N
21MK113SSFPZA;2;6;2;Y
21MC263ZSFPTG;2;7;2,3;Y
21NJ133ZSFPTG;2;7;2;Y
21JP053SLECTG;2;7;2;Y
21AG001SLBPSS;2;2;3;Y
21AG001ZSBPZA;2;3;3;N
21A2029BLLZA;2;4;3;N
21US186ZSFPZA;2;5;3;N
21BM067SLBCZA;2;6;3;N
21CRA90BFBIZA;2;7;3;Y
