WM Price,Amz Price,dif,Price,Change Pr,WM ItemId,SKU,Style Id,Size,comments
99.99,23.99,$76.00,23.99,Y,146929541,21ST064BLLDZ-2-6,21ST064BLLDZ,6,change picture to picture from B0108W6H1U
29.99,16.99,$13.00,16.99,Y,110549232,21DY067GGSZA-8,21DY067,8,
29.99,17.99,$12.00,17.99,Y,127571475,21FZ001DTGPZA-3-4,21FZ001DTGPZA,4,
29.99,17.99,$12.00,17.99,Y,172009907,21FZ001DTGPZA-3-6,21FZ001DTGPZA,6,
19.99,9.99,$10.00,9.99,Y,180793496,21TS001BSLDZ-4-8,21TS001BSLDZ,8,
24.99,16.99,$8.00,16.99,Y,118264182,21FZ354ggsdz-2-4,21FZ354ggsdz,4/5,
24.99,16.99,$8.00,16.99,Y,109914943,21FZ354ggsdz-2-6,21FZ354ggsdz,6/6x,
24.99,16.99,$8.00,,N,171617949,21FZ354ggsdz-2-8,21FZ354ggsdz,7/8,
23.99,16.99,$7.00,,N,191554147,FZ104G-10,FZ104G,10,we don't have it
26.99,19.99,$7.00,19.99,Y,48936064,K182048SM-M,K182048SM,8,
26.99,19.99,$7.00,19.99,Y,48936062,K182048SM-S,K182048SM,6/7,
16.99,9.99,$7.00,11.99,Y,171960799,17DM097WPTZA-1X,17DM097WPTZA,1X,
16.99,9.99,$7.00,11.99,Y,199586913,17DM097WPTZA-2X,17DM097WPTZA,2X,
24.99,18.96,$6.03,,N,131951511,21LM016GGSZA-6,21LM016GGSZA,6,we don't have it
24,17.99,$6.01,,N,142097806,21TS001BSLDZ-4-6,21TS001BSLDZ,6,we don't have it
21.99,15.98,$6.01,,N,141318040,21DY067GGSZA-6,21DY067,6,we don't have it
28.99,22.99,$6.00,,N,118286343,21FZ039GDSZA-8,21FZ039GDSZA,8,
19.99,13.99,$6.00,13.99,Y,165194369,K157462BM-5-10,k157462BM,10,
19.99,13.99,$6.00,13.99,Y,170480452,K157462BM-5-8,k157462BM,8,
17.99,12.98,$5.01,12.98,Y,19793714,TBUP1704-4T,TBUP1704,4T,
14.99,9.99,$5.00,12.99,Y,183491945,17ST117MPTZA-M,17ST117MPTZA,M,
14.99,9.99,$5.00,9.99,Y,130976761,K157451PN-2T,K157451PN,2T,
14.99,9.99,$5.00,9.99,Y,118017042,K157451PN-3T,K157451PN,3T,
14.99,9.99,$5.00,12.99,Y,170872162,K157451PN-4T,K157451PN,4T,
14.99,9.99,$5.00,9.99,Y,105679665,K157452PN-2-2T,K157452PN,2T,
14.99,9.99,$5.00,9.99,Y,134289088,K157452PN-2-3T,K157452PN,3T,
14.99,9.99,$5.00,12.99,Y,141172040,K157452PN-2-4T,K157452PN,4T,
17.99,12.99,$5.00,12.99,Y,184723681,21AZ056LLGPZA-1-6,21AZ056LLGPZA,6/6x,
17.99,12.99,$5.00,12.99,Y,106366523,21AZ056LLGPZA-6,21AZ056LLGPZA,6/6x,
19.99,14.99,$5.00,,N,189514792,21FZ215GGLDZ-3-4,21FZ215GGLDZ,4,we don't have it
19.99,14.99,$5.00,,N,139995832,21PT033GGSZA-1-4,21PT033GGSZA,4,we don't have it
19.99,14.99,$5.00,,N,183598237,21PT033GGSZA-4,21PT033GGSZA,4,we don't have it
19.99,14.99,$5.00,,N,196499759,21PT033GGSZA-6,21PT033GGSZA,6,we don't have it
19.99,14.99,$5.00,16.99,Y,142512245,21TS007ELLDZ-2-2T,21TS007ELLDZ,2T,
19.99,14.99,$5.00,14.99,Y,120211951,21TS007ELLDZ-2-3T,21TS007ELLDZ,3T,
19.99,14.99,$5.00,16.99,Y,171256671,21TS007ELLDZ-2-4T,21TS007ELLDZ,4T,
19.99,14.99,$5.00,,N,151563677,DP137-3-2T,DP137,2T,we don't have it
19.99,14.99,$5.00,,N,135266361,DP137-3-3T,DP137,3T,we don't have it
19.99,14.99,$5.00,,N,180113504,DP137-3-4T,DP137,4T,we don't have it
19.99,14.99,$5.00,16.99,Y,199895917,LM055-2-8,LM055,8,
14.97,9.99,$4.98,9.99,Y,172920090,K157456PN,K157456PN,2T,
19.49,14.99,$4.50,14.99,Y,47883984,K157963-2-M,K157963,7/8,
19.49,14.99,$4.50,14.99,Y,47883981,K157963-2-S,K157963,6,
19.49,14.99,$4.50,14.99,Y,47883978,K157963-2-XS,K157963,4,
23.99,19.99,$4.00,19.99,Y,148387143,21MW043TRLZA-2T,21MI049TRDZA,2T,
23.99,19.99,$4.00,,N,101919530,21MW043TRLZA-3T,21MI049TRDZA,3T,
23.99,19.99,$4.00,,N,128350528,21MW043TRLZA-4T,21MI049TRDZA,4T,
23.99,19.99,$4.00,19.99,Y,120653461,21ST107ELLZA-2T,21ST107ELLZA,2T,
23.99,19.99,$4.00,19.99,Y,131589918,TD008-shs-10,21TD008GDLDZ,10,
16.99,12.99,$4.00,,N,156341068,17DM097WPTZA-3X,17DM097WPTZA,3X,
18.99,14.99,$4.00,12.99,Y,46193564,21LM027GZRDZ-1-10,21LM027GZRDZ,10,
18.99,14.99,$4.00,14.99,Y,191226775,K157771PE-2-M,K157771PE,7/8,
